tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,sets_num,tourney_month_name,tourney_month_num
2015-339,Brisbane,Hard,28,A,2015-01-04,1,105357,0,WC,John Millman,R,183,AUS,25.6,36.0,328,105733,0,Q,Rhyne Williams,R,188,USA,24.0,60.0,221,6-3 6-1,3,R32,65.0,6,2,44,24,19,14,8,1,1,3,4,50,31,20,5,8,1,5,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,2,103813,0,D,Jarkko Nieminen,L,185,FIN,33.5,73.0,689,106045,0,Q,Denis Kudla,R,180,USA,22.0,123.0,440,4-6 6-1 6-4,3,R32,104.0,4,0,92,59,39,17,14,4,7,6,1,83,50,26,19,13,3,8,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,3,105902,0,WC,James Duckworth,R,183,AUS,23.0,125.0,430,104468,6,D,Gilles Simon,R,183,FRA,30.0,21.0,1730,6-2 6-2,3,R32,68.0,4,0,45,27,20,11,8,2,3,2,1,56,37,22,5,8,10,15,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,4,104871,0,D,Jeremy Chardy,R,188,FRA,27.9,31.0,1195,104979,0,D,Andrey Golubev,R,185,KAZ,27.0,72.0,691,6-4 6-4,3,R32,69.0,7,1,53,39,31,11,10,0,0,9,2,57,38,30,8,10,1,3,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,5,105373,0,D,Martin Klizan,L,190,SVK,25.5,34.0,1094,103781,0,D,Jurgen Melzer,L,183,AUT,34.0,110.0,505,6-7(5) 7-6(6) 6-1,3,R32,144.0,9,4,130,79,55,27,16,6,8,4,4,95,62,40,19,15,4,8,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,6,105238,7,D,Alexandr Dolgopolov,R,180,UKR,26.2,23.0,1455,104122,0,D,Carlos Berlocq,R,183,ARG,32.0,71.0,700,6-2 6-3,3,R32,78.0,6,1,49,31,24,12,9,3,4,3,2,78,53,32,8,8,11,15,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,7,103997,0,Q,Lukasz Kubot,R,190,POL,32.6,36.0,282,104731,5,D,Kevin Anderson,R,203,RSA,29.0,16.0,2080,7-6(3) 6-4,3,R32,110.0,6,5,78,51,35,14,11,3,5,12,3,76,43,30,17,11,4,7,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,8,105032,0,D,Samuel Groth,R,188,AUS,27.2,85.0,586,103720,0,D,Lleyton Hewitt,R,180,AUS,34.0,84.0,595,6-3 6-2,3,R32,59.0,14,0,47,34,30,8,9,2,2,1,2,45,22,13,14,8,1,4,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,9,105062,0,D,Mikhail Kukushkin,R,183,KAZ,27.0,69.0,705,105657,0,Q,Marius Copil,R,193,ROU,24.0,60.0,242,6-4 4-6 6-4,3,R32,113.0,3,1,84,56,42,16,15,1,3,17,2,89,56,46,15,15,3,6,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,10,106423,0,WC,Thanasi Kokkinakis,R,188,AUS,18.7,36.0,341,103898,8,D,Julien Benneteau,R,185,FRA,33.0,25.0,1365,6-4 6-3,3,R32,75.0,9,1,52,30,25,14,10,1,2,5,3,52,33,23,7,9,1,4,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,11,106071,0,D,Bernard Tomic,R,193,AUS,22.2,53.0,797,105023,0,D,Sam Querrey,R,198,USA,27.0,35.0,1090,7-5 7-6(5),3,R32,83.0,5,0,77,46,36,21,12,4,5,20,3,70,42,35,14,12,4,6,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,12,105449,0,D,Steve Johnson,R,188,USA,25.0,37.0,999,104594,0,D,Marinko Matosevic,R,194,AUS,29.0,77.0,657,2-6 7-6(0) 7-5,3,R32,136.0,14,3,95,58,45,24,16,4,6,10,5,106,68,51,19,16,3,4,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,13,103819,1,D,Roger Federer,R,185,SUI,33.4,2.0,9625,105357,0,WC,John Millman,R,183,AUS,26.0,153.0,328,4-6 6-4 6-3,3,R16,122.0,8,3,85,50,37,19,14,9,11,2,2,112,72,44,20,15,9,13,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,14,105902,0,WC,James Duckworth,R,183,AUS,23.0,125.0,430,103813,0,D,Jarkko Nieminen,L,185,FIN,33.0,73.0,689,4-6 7-6(5) 6-3,3,R16,123.0,16,3,114,66,51,24,16,7,9,5,0,92,60,45,19,15,4,6,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,15,105777,4,D,Grigor Dimitrov,R,188,BUL,23.6,11.0,3645,104871,0,D,Jeremy Chardy,R,188,FRA,28.0,31.0,1195,3-6 6-4 7-6(8),3,R16,148.0,10,3,107,64,46,23,16,5,7,9,6,126,78,60,20,15,12,13,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,16,105373,0,D,Martin Klizan,L,190,SVK,25.5,34.0,1094,105238,7,D,Alexandr Dolgopolov,R,180,UKR,26.0,23.0,1455,1-6 7-6(6) 7-6(7),3,R16,147.0,4,5,116,73,46,18,15,5,10,16,2,103,68,51,19,16,1,4,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,17,105032,0,D,Samuel Groth,R,188,AUS,27.2,85.0,586,103997,0,Q,Lukasz Kubot,R,190,POL,33.0,177.0,282,6-4 6-7(2) 7-6(3),3,R16,148.0,21,2,111,80,62,19,17,2,2,14,5,112,75,58,22,17,6,7,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,18,105683,3,D,Milos Raonic,R,196,CAN,24.0,8.0,4440,105062,0,D,Mikhail Kukushkin,R,183,KAZ,27.0,69.0,705,6-3 6-4,3,R16,61.0,17,4,48,31,28,12,10,0,0,1,1,54,32,22,12,9,2,4,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,19,106071,0,D,Bernard Tomic,R,193,AUS,22.2,53.0,797,106423,0,WC,Thanasi Kokkinakis,R,188,AUS,19.0,149.0,341,7-6(2) 6-1,3,R16,79.0,8,1,72,51,38,12,10,0,0,7,3,61,32,23,14,9,3,5,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,20,105453,2,D,Kei Nishikori,R,178,JPN,25.0,5.0,5025,105449,0,D,Steve Johnson,R,188,USA,25.0,37.0,999,6-4 7-5,3,R16,81.0,7,1,67,45,34,16,11,2,2,6,1,61,33,24,17,11,1,3,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,21,103819,1,D,Roger Federer,R,185,SUI,33.4,2.0,9625,105902,0,WC,James Duckworth,R,183,AUS,23.0,125.0,430,6-0 6-1,3,QF,41.0,12,2,30,21,19,6,6,0,0,0,1,38,25,8,4,7,2,8,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,22,105777,4,D,Grigor Dimitrov,R,188,BUL,23.6,11.0,3645,105373,0,D,Martin Klizan,L,190,SVK,25.0,34.0,1094,6-3 6-4,3,QF,73.0,7,2,57,34,26,12,10,1,3,3,1,53,37,24,5,9,1,5,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,23,105683,3,D,Milos Raonic,R,196,CAN,24.0,8.0,4440,105032,0,D,Samuel Groth,R,188,AUS,27.0,85.0,586,7-6(5) 3-6 7-6(2),3,QF,121.0,15,2,96,65,53,19,16,4,5,22,1,98,74,58,17,17,0,0,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,24,105453,2,D,Kei Nishikori,R,178,JPN,25.0,5.0,5025,106071,0,D,Bernard Tomic,R,193,AUS,22.0,53.0,797,6-0 6-4,3,QF,59.0,5,1,38,26,24,8,8,0,0,10,2,68,41,26,10,8,12,16,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,25,103819,1,D,Roger Federer,R,185,SUI,33.4,2.0,9625,105777,4,D,Grigor Dimitrov,R,188,BUL,24.0,11.0,3645,6-2 6-2,3,SF,53.0,1,1,48,33,27,9,8,4,4,4,1,48,30,19,6,8,3,7,2,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,26,105683,3,D,Milos Raonic,R,196,CAN,24.0,8.0,4440,105453,2,D,Kei Nishikori,R,178,JPN,25.0,5.0,5025,6-7(4) 7-6(4) 7-6(4),3,SF,153.0,34,3,122,84,72,22,18,3,3,6,3,116,82,69,21,18,3,3,3,January,1
2015-339,Brisbane,Hard,28,A,2015-01-04,27,103819,1,D,Roger Federer,R,185,SUI,33.4,2.0,9625,105683,3,D,Milos Raonic,R,196,CAN,24.0,8.0,4440,6-4 6-7(2) 6-4,3,F,133.0,21,0,100,64,51,19,16,5,6,14,4,108,58,44,27,16,4,7,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,1,106432,0,D,Borna Coric,R,188,CRO,18.1,95.0,557,104898,0,D,Robin Haase,R,190,NED,28.0,80.0,620,6-2 6-2,3,R32,66.0,4,1,48,26,21,12,8,4,5,1,0,46,27,14,5,8,2,7,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,2,111200,0,WC,Elias Ymer,R,188,SWE,18.7,36.0,210,104997,0,D,Igor Sijsling,R,190,NED,27.0,81.0,619,6-4 4-6 6-3,3,R32,106.0,3,2,80,55,39,15,15,4,7,3,7,98,62,43,13,14,4,8,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,3,104180,8,D,Gilles Muller,L,193,LUX,31.7,46.0,855,104273,0,D,Edouard Roger Vasselin,R,188,FRA,31.0,116.0,470,6-7(11) 6-1 7-6(3),3,R32,143.0,29,4,100,65,49,23,15,3,4,4,3,101,69,50,16,16,1,5,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,4,105575,0,D,Ricardas Berankis,R,175,LTU,24.5,83.0,605,104563,0,Q,Luca Vanni,U,188,ITA,30.0,148.0,353,6-1 2-6 7-5,3,R32,109.0,4,3,76,46,33,16,13,3,6,11,1,81,46,30,17,14,2,7,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,5,106210,0,D,Jiri Vesely,L,188,CZE,21.5,65.0,741,104822,0,Q,N Vijay Sundar Prashanth,U,188,IND,28.0,60.0,56,6-2 6-1,3,R32,67.0,4,1,39,23,20,9,7,0,0,0,0,55,28,12,14,8,5,10,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,6,104890,0,D,Andreas Haider Maurer,R,190,AUT,27.8,79.0,621,104719,7,D,Marcel Granollers,R,190,ESP,29.0,55.0,790,3-6 7-6(6) 2-0 RET,3,R32,134.0,3,4,91,43,32,22,12,6,9,5,2,74,38,29,19,11,4,6,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,7,104229,6,D,Yen Hsun Lu,R,180,TPE,31.4,38.0,993,104500,0,WC,Somdev Devvarman,R,180,IND,30.0,136.0,381,6-3 6-4,3,R32,80.0,2,0,54,31,22,14,10,1,3,3,1,61,38,22,9,9,7,11,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,8,105807,0,D,Pablo Carreno Busta,R,188,ESP,23.5,49.0,841,105292,0,D,Alejandro Gonzalez,R,188,COL,26.0,109.0,507,6-1 6-3,3,R32,60.0,1,1,46,23,20,12,8,3,4,2,2,45,24,12,7,8,3,8,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,9,105376,0,D,Peter Gojowczyk,R,185,GER,25.5,102.0,539,104268,0,D,Alejandro Falla,L,185,COL,31.0,113.0,496,6-0 6-1,3,R32,43.0,2,0,42,21,18,13,7,3,3,0,0,36,20,9,5,6,1,6,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,10,104198,5,D,Guillermo Garcia Lopez,R,188,ESP,31.6,36.0,1020,105539,0,Q,Evgeny Donskoy,R,185,RUS,25.0,129.0,421,6-7(3) 6-2 6-3,3,R32,115.0,4,1,75,41,31,24,14,3,5,6,6,94,51,31,20,15,5,11,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,11,105147,0,D,Tatsuma Ito,R,180,JPN,26.6,87.0,576,106368,0,WC,Ramkumar Ramanathan,R,188,IND,20.0,60.0,172,6-3 6-3,3,R32,81.0,2,1,52,38,33,6,9,2,2,9,4,77,40,30,13,9,8,11,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,12,105379,0,Q,Aljaz Bedene,R,181,GBR,25.5,36.0,325,105041,0,D,Lukas Lacko,R,185,SVK,27.0,88.0,576,7-6(0) 6-3,3,R32,96.0,11,4,79,40,37,19,11,3,3,5,2,74,49,35,12,10,6,7,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,13,104527,1,D,Stanislas Wawrinka,R,183,SUI,29.8,4.0,5120,106432,0,D,Borna Coric,R,188,CRO,18.0,95.0,557,6-1 6-4,3,R16,71.0,4,1,48,26,24,12,9,0,0,2,0,54,28,18,11,8,5,8,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,14,104180,8,D,Gilles Muller,L,193,LUX,31.7,46.0,855,111200,0,WC,Elias Ymer,R,188,SWE,19.0,60.0,210,6-4 6-3,3,R16,80.0,6,2,68,37,31,16,10,7,7,2,3,46,35,30,1,9,0,2,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,15,105676,4,D,David Goffin,R,163,BEL,24.1,22.0,1599,105575,0,D,Ricardas Berankis,R,175,LTU,25.0,83.0,605,6-0 4-6 7-6(1),3,R16,116.0,12,4,78,46,38,19,14,2,4,1,4,101,74,48,10,14,6,10,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,16,104890,0,D,Andreas Haider Maurer,R,190,AUT,27.8,79.0,621,106210,0,D,Jiri Vesely,L,188,CZE,21.0,65.0,741,6-7(3) 6-4 6-4,3,R16,126.0,13,7,97,67,49,18,16,3,4,14,4,100,67,53,13,16,2,5,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,17,104229,6,D,Yen Hsun Lu,R,180,TPE,31.4,38.0,993,105807,0,D,Pablo Carreno Busta,R,188,ESP,23.0,49.0,841,6-4 6-4,3,R16,74.0,7,2,58,39,30,10,10,4,5,7,2,67,48,32,6,10,4,7,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,18,105138,3,D,Roberto Bautista Agut,R,188,ESP,26.7,15.0,2110,105376,0,D,Peter Gojowczyk,R,185,GER,25.0,102.0,539,6-3 6-2,3,R16,71.0,6,4,61,35,23,14,9,6,8,5,2,47,27,16,6,8,1,6,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,19,104198,5,D,Guillermo Garcia Lopez,R,188,ESP,31.6,36.0,1020,105147,0,D,Tatsuma Ito,R,180,JPN,27.0,87.0,576,6-7(1) 6-2 6-0,3,R16,126.0,8,2,87,49,35,19,13,4,7,5,7,98,58,34,15,13,10,18,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,20,105379,0,Q,Aljaz Bedene,R,181,GBR,25.5,36.0,325,103852,2,D,Feliciano Lopez,L,188,ESP,33.0,14.0,2130,6-4 6-4,3,R16,86.0,7,1,57,38,33,10,10,1,1,6,2,75,42,28,17,10,8,10,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,21,104527,1,D,Stanislas Wawrinka,R,183,SUI,29.8,4.0,5120,104180,8,D,Gilles Muller,L,193,LUX,32.0,46.0,855,6-2 7-6(4),3,QF,86.0,4,0,61,39,31,17,10,3,4,1,4,71,38,26,16,10,3,6,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,22,105676,4,D,David Goffin,R,163,BEL,24.1,22.0,1599,104890,0,D,Andreas Haider Maurer,R,190,AUT,28.0,79.0,621,7-5 6-2,3,QF,72.0,7,1,50,25,21,17,10,0,1,6,2,62,39,25,10,10,3,7,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,23,105138,3,D,Roberto Bautista Agut,R,188,ESP,26.7,15.0,2110,104229,6,D,Yen Hsun Lu,R,180,TPE,31.0,38.0,993,7-6(7) 6-4,3,QF,109.0,3,0,73,47,34,16,11,2,3,5,1,85,47,34,18,11,4,6,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,24,105379,0,Q,Aljaz Bedene,R,181,GBR,25.5,36.0,325,104198,5,D,Guillermo Garcia Lopez,R,188,ESP,32.0,36.0,1020,2-6 6-3 6-2,3,QF,116.0,11,1,99,64,44,16,13,8,11,3,4,73,37,24,18,12,3,7,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,25,104527,1,D,Stanislas Wawrinka,R,183,SUI,29.8,4.0,5120,105676,4,D,David Goffin,R,163,BEL,24.0,22.0,1599,7-5 6-3,3,SF,91.0,6,1,72,37,26,22,11,7,8,3,2,69,38,29,12,10,7,10,2,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,26,105379,0,Q,Aljaz Bedene,R,181,GBR,25.5,36.0,325,105138,3,D,Roberto Bautista Agut,R,188,ESP,27.0,15.0,2110,3-6 6-3 7-6(8),3,SF,163.0,15,3,125,64,45,27,15,10,15,2,2,99,68,43,18,15,5,10,3,January,1
2015-891,Chennai,Hard,28,A,2015-01-05,27,104527,1,D,Stanislas Wawrinka,R,183,SUI,29.8,4.0,5120,105379,0,Q,Aljaz Bedene,R,181,GBR,25.0,156.0,325,6-3 6-4,3,F,70.0,2,1,59,39,29,13,10,0,0,7,2,52,33,25,9,9,2,4,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,1,104925,1,D,Novak Djokovic,R,188,SRB,27.6,1.0,11360,105583,0,D,Dusan Lajovic,R,180,SRB,25.0,68.0,711,6-2 6-1,3,R32,59.0,3,2,50,35,24,8,8,3,4,0,2,43,27,13,5,7,1,6,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,2,104660,0,D,Sergiy Stakhovsky,R,193,UKR,29.0,57.0,781,106325,0,WC,Jabor Al Mutawa,U,188,QAT,21.0,0.0,0,6-1 6-1,3,R32,46.0,7,3,52,35,28,6,7,2,2,1,3,38,23,11,3,7,3,8,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,3,105932,0,Q,Nikoloz Basilashvili,R,188,RUS,22.9,36.0,293,104022,0,D,Mikhail Youzhny,R,183,RUS,33.0,47.0,850,7-5 6-2,3,R32,77.0,2,0,53,35,26,10,10,1,3,1,4,65,36,25,9,10,4,9,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,4,103333,7,D,Ivo Karlovic,R,208,CRO,35.9,27.0,1320,104586,0,D,Lukas Rosol,R,196,CZE,29.0,30.0,1210,7-6(4) 6-3,3,R32,92.0,27,0,77,47,38,19,11,8,8,7,3,75,48,36,13,10,5,6,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,5,103970,4,D,David Ferrer,R,175,ESP,32.8,10.0,4045,105217,0,Q,Thiemo De Bakker,R,193,NED,26.0,141.0,375,6-7(4) 6-4 6-3,3,R32,138.0,5,2,87,43,31,29,15,1,3,13,1,118,63,47,24,16,7,12,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,6,104269,0,D,Fernando Verdasco,L,188,ESP,31.1,33.0,1135,104559,0,D,Teymuraz Gabashvili,R,188,RUS,30.0,66.0,730,4-6 6-3 7-6(4),3,R32,144.0,8,5,123,99,70,11,16,8,9,12,4,101,69,58,13,15,9,10,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,7,104460,0,D,Dustin Brown,R,196,GER,30.1,98.0,549,103893,0,D,Paolo Lorenzi,R,183,ITA,33.0,63.0,759,7-6(3) 6-3,3,R32,81.0,6,2,68,44,31,14,11,1,3,0,3,65,44,26,9,10,2,5,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,8,105526,0,D,Jan Lennard Struff,R,188,GER,24.7,58.0,781,104259,5,D,Philipp Kohlschreiber,R,178,GER,31.0,24.0,1415,7-6(3) 4-6 6-1,3,R32,116.0,7,0,95,59,52,15,15,5,6,7,1,90,65,45,14,14,4,6,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,9,104755,6,D,Richard Gasquet,R,185,FRA,28.6,26.0,1350,104665,0,D,Pablo Andujar,R,180,ESP,29.0,41.0,950,6-3 7-5,3,R32,93.0,8,4,64,43,33,10,11,4,5,1,1,68,51,34,7,10,4,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,10,104620,0,D,Simone Bolelli,R,183,ITA,29.2,52.0,810,103794,0,D,Benjamin Becker,R,178,GER,34.0,40.0,973,6-3 7-6(2),3,R32,90.0,10,1,61,43,34,14,11,1,2,7,0,80,51,31,17,10,5,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,11,104882,0,Q,Blaz Kavcic,R,188,SLO,27.8,99.0,545,104338,0,D,Juan Monaco,R,185,ARG,31.0,61.0,770,7-6(3) 6-4,3,R32,114.0,4,1,79,58,42,12,11,4,5,4,1,78,54,33,13,11,4,6,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,12,104607,3,D,Tomas Berdych,R,196,CZE,29.3,7.0,4600,104797,0,D,Denis Istomin,R,188,UZB,28.0,48.0,850,6-1 6-4,3,R32,63.0,9,0,45,24,23,13,9,0,0,0,0,47,27,17,9,8,4,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,13,104312,0,D,Andreas Seppi,R,190,ITA,30.9,45.0,870,104919,8,D,Leonardo Mayer,R,188,ARG,28.0,28.0,1299,5-7 7-6(4) 7-6(4),3,R32,164.0,5,2,113,68,55,28,18,4,5,12,5,130,77,61,29,18,6,6,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,14,105154,0,D,Joao Souza,R,193,BRA,26.6,117.0,468,104291,0,WC,Malek Jaziri,R,185,TUN,31.0,74.0,676,3-6 6-4 6-3,3,R32,98.0,8,0,72,51,42,14,14,4,5,3,3,75,35,27,27,14,1,3,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,15,104471,0,D,Ivan Dodig,R,183,CRO,30.0,89.0,575,105633,0,WC,Mohamed Safwat,R,183,EGY,24.0,60.0,168,6-3 6-1,3,R32,51.0,8,0,36,24,23,9,8,0,0,0,2,48,29,18,6,8,0,4,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,16,103582,0,Q,Michael Berrer,L,193,GER,34.5,127.0,427,104745,2,D,Rafael Nadal,L,185,ESP,29.0,3.0,6585,1-6 6-3 6-4,3,R32,116.0,6,2,89,68,47,11,13,10,12,2,1,72,48,34,15,13,2,4,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,17,104925,1,D,Novak Djokovic,R,188,SRB,27.6,1.0,11360,104660,0,D,Sergiy Stakhovsky,R,193,UKR,29.0,57.0,781,6-2 6-1,3,R16,61.0,5,2,51,34,29,8,8,3,3,3,1,48,26,16,6,7,3,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,18,103333,7,D,Ivo Karlovic,R,208,CRO,35.9,27.0,1320,105932,0,Q,Nikoloz Basilashvili,R,188,RUS,23.0,171.0,293,7-6(3) 6-3,3,R16,83.0,19,0,61,43,36,12,11,1,2,4,5,78,48,33,14,10,7,9,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,19,103970,4,D,David Ferrer,R,175,ESP,32.8,10.0,4045,104269,0,D,Fernando Verdasco,L,188,ESP,31.0,33.0,1135,6-3 6-2,3,R16,78.0,2,3,46,31,23,9,8,1,2,1,4,74,48,27,9,9,8,13,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,20,104460,0,D,Dustin Brown,R,196,GER,30.1,98.0,549,105526,0,D,Jan Lennard Struff,R,188,GER,25.0,58.0,781,7-6(9) 6-4,3,R16,86.0,15,4,82,60,50,9,11,1,1,8,1,75,50,38,14,11,4,5,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,21,104755,6,D,Richard Gasquet,R,185,FRA,28.6,26.0,1350,104620,0,D,Simone Bolelli,R,183,ITA,29.0,52.0,810,6-3 6-2,3,R16,65.0,6,1,42,33,27,6,9,0,1,3,0,57,40,23,6,8,4,8,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,22,104607,3,D,Tomas Berdych,R,196,CZE,29.3,7.0,4600,104882,0,Q,Blaz Kavcic,R,188,SLO,28.0,99.0,545,6-1 6-2,3,R16,58.0,4,0,45,29,23,11,8,0,0,1,3,47,34,21,1,7,1,5,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,23,104312,0,D,Andreas Seppi,R,190,ITA,30.9,45.0,870,105154,0,D,Joao Souza,R,193,BRA,27.0,117.0,468,7-5 6-2,3,R16,72.0,7,0,54,37,30,10,10,4,5,3,0,58,34,24,10,10,4,8,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,24,104471,0,D,Ivan Dodig,R,183,CRO,30.0,89.0,575,103582,0,Q,Michael Berrer,L,193,GER,35.0,127.0,427,7-6(1) 6-2,3,R16,83.0,7,0,57,35,28,16,10,1,1,7,3,75,56,36,7,10,5,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,25,103333,7,D,Ivo Karlovic,R,208,CRO,35.9,27.0,1320,104925,1,D,Novak Djokovic,R,188,SRB,28.0,1.0,11360,6-7(2) 7-6(6) 6-4,3,QF,136.0,21,3,99,73,62,13,17,0,0,11,2,112,81,61,19,17,3,4,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,26,103970,4,D,David Ferrer,R,175,ESP,32.8,10.0,4045,104460,0,D,Dustin Brown,R,196,GER,30.0,98.0,549,6-2 6-2,3,QF,69.0,1,3,65,45,31,8,8,5,6,2,7,55,33,21,4,8,5,10,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,27,104607,3,D,Tomas Berdych,R,196,CZE,29.3,7.0,4600,104755,6,D,Richard Gasquet,R,185,FRA,29.0,26.0,1350,6-2 6-1,3,QF,58.0,5,2,50,31,26,9,8,1,1,1,1,37,27,14,3,7,3,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,28,104312,0,D,Andreas Seppi,R,190,ITA,30.9,45.0,870,104471,0,D,Ivan Dodig,R,183,CRO,30.0,89.0,575,7-5 6-4,3,QF,92.0,3,2,78,38,32,15,11,5,8,3,2,62,36,18,13,11,2,7,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,29,103970,4,D,David Ferrer,R,175,ESP,32.8,10.0,4045,103333,7,D,Ivo Karlovic,R,208,CRO,36.0,27.0,1320,6-7(2) 7-6(5) 7-6(4),3,SF,152.0,5,0,122,97,76,15,18,2,2,30,1,117,81,67,22,18,3,3,3,January,1
2015-451,Doha,Hard,32,A,2015-01-05,30,104607,3,D,Tomas Berdych,R,196,CZE,29.3,7.0,4600,104312,0,D,Andreas Seppi,R,190,ITA,31.0,45.0,870,6-2 6-3,3,SF,73.0,3,2,56,38,32,9,9,3,3,2,1,58,36,26,6,8,6,9,2,January,1
2015-451,Doha,Hard,32,A,2015-01-05,31,103970,4,D,David Ferrer,R,175,ESP,32.8,10.0,4045,104607,3,D,Tomas Berdych,R,196,CZE,29.0,7.0,4600,6-4 7-5,3,F,90.0,1,3,63,42,30,11,11,6,8,6,3,59,36,27,8,11,4,8,2,January,1
2015-338,Sydney,Hard,28,A,2015-01-11,1,105223,0,WC,Juan Martin Del Potro,R,198,ARG,26.3,36.0,135,104660,0,D,Sergiy Stakhovsky,R,193,UKR,29.0,69.0,699,6-3 7-6(4),3,R32,81.0,7,0,61,41,37,11,11,0,0,7,3,58,31,23,17,10,1,2,2,January,1
